access,associated_land,building_type,bu_number,summary,cat_chk,ceiling,chipped_stone,current_use,date,description,easting,eaves,elevation,entered_by,entered_date,exterior_plaster,floors,foundation,ground_stone,habitable,height,interior_plaster,intensive_survey_zone,levels,number_of_levels,length,locality,location,alterations,northing,occupied,openings,oral_information,owner,ownership,past_use,period_1100,period_1601,period_1701,period_1801,period_1851,period_1901,period_1951,plot_cadastral,plot_village,posi_chk,posi_number,pottery,recorded_by,recorded_date,roofs,seanal,sheet_map_1_5000,sheet_map_cadastral,sheet_plan_village,sia_number,sketch_chk,slag,source,special_features,stability,structure_name,structure_type,tile,title_deed_number,vegetation,village,walls,width
,,Seasonal house,BU0006,"Seasonal house, Mandres. Rectangular stone structure with mud roof and reed ceiling. Niches in walls. Small domed structure probably an oven.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. 2 dwellings? Rectangular structure; All masonry walls; Flat mud roof; Reed ceiling; Stone niches on outside of building; Round domed stone feature to west of house, probably an oven which has lost mud/plaster coating; Large depression (for water?) to west; Site has been bulldozed around house",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP018,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,Stone,
,,Seasonal house,BU0007,"Seasonal house, Mandres. Single room rectangular structure with stone foundations and mudbrick walls. Mud roof and reed ceiling. Hearth in corner. Built in furniture of mudbrick.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form.n Rectangular house - socle at rear (W) approx 1 m - but only 0.30 m at front (E) of house, topped with mud brick, 1 room, corner hearth, mud brick built-in furniture, mud roof, reed ceiling, small high windows",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP028,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0008,"Seasonal house, Mandres. Rectangular structure with basalt blocks and limestone chinking as foundation, and mudbrick walls. Two shelves, one niche. No roof.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. High stone socle - well made - basalt blocks with white chinking, topped with mud brick - high windows. Square form, no roof extant, 1 niche, 2 corner shelves inside.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP026,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,II,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0009,"Seasonal house, Mandres. All stone rectangular structure made of basalt blocks and basalt chinking. 2 corner shelves inside.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Square house; All stone basalt blocks with basalt chinking; 2 corner shelves inside,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP026,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0010,"Seasonal house, Mandres. Small rectangular structure with stone foundation, and basalt masonry combined with white chinking. Threshing floor to the south.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Small rectangular form; High stone socle, rough basalt masonry with some white chinking; Threshing floor to south.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP026,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0011,"Seasonal house, Mandres. Two-unit rectangular structure with stone foundation at different height. Threshing floor across road.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. House in 2 units: Western side - low socle, rectangular; Eastern side - low socle at front, higher at back (S), rectangular. 1 niche. Threshing floor across road.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,0,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0012,"Seasonal house, Mandres. Two-unit rectangular structure with basalt and pottery chinking as foundations. Two rooms. No roof.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. House in 2 units: Southern rectangular  unit with high stone socle, masonry with much pottery chinking; 2 rooms, no roof.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,0,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0013,"Seasonal house, Mandres. Large square structure with stone foundation and mud brick additions. Threshing floors to north and west.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Large square structure, high stone socle on western portion, rectangular, low stone socle and mud brick addition. Threshing floors to north and west.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP008,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0014,"Seasonal house, Mandres. Eroded mudbrick on stone foundation, with limestone interior wall and 2 niches.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Very eroded mud brick with low stone socle; limestone interior wall; 2 niches; much use of limestone,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP008,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0015,"Seasonal house, Mandres. Rectangular structure with stone foundations and eroded mudbrick walls.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Rectangular house; socle higher at back, lower at front; mud brick top almost gone. Threshing floor on aerial, but gone now.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP008,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
