aspect,comments,easting,elevation,entered_by,entered_date,erosion,gu_number,image_print_number,intensive_survey_zone,land_use,morphostratigraphy,morphostratigraphy_age,northing,recorded_by,recorded_date,sia_number,slope_angle,soil_carbonate,soil_colour_code,soil_cover,soil_coverage_percent,soil_texture,soil_texture_percentage,soil_texture_coarse_term,soil_colour_moisture,substratum,substratum_age,surface_stability,transect_number
W,,489925.00,296.00,MLS,16/7/2001 00:00:00,Till,GU0040,IP0056,,Og,ht,H,3881000.00,MLS,16/7/2001 00:00:00,,1.00,Ka,10YR 5/3,Sab,,SL,5.00,Gravelly,Dry,at,Q,Stable,TT3881000N
N,,489975.00,302.00,MLS,16/7/2001 00:00:00,Till,GU0041,IP0056,Karkotis,Og,ht,H,3881025.00,MLS,16/7/2001 00:00:00,,1.00,Ka,10YR 5/3,Sab,,SL,15.00,Gravelly,Dry,at,Q,Stable,TT3881000N
NW,,490035.00,300.00,MLS,16/7/2001 00:00:00,Till,GU0042,IP0056,,Og,ht,H,3881000.00,MLS,16/7/2001 00:00:00,,3.00,Ka,10YR 5/3,Sab,,SL,15.00,Gravelly,Dry,at,Q,Stable,TT3881000N
NW,,490100.00,320.00,MLS,18/7/2001 00:00:00,Till,GU0043,IP0056,,Gr,ht,H,3881000.00,MLS,17/7/2001 00:00:00,,4.00,Ka,10YR 5/2,Sab,,SL,10.00,Gravelly,Dry,at,Q,Stable,TT3881000N
NNW,,490250.00,340.00,MLS,18/7/2001 00:00:00,Mix,GU0044,IP0088,Karkotis,Ga,cg,Q,3880900.00,MLS,17/7/2001 00:00:00,,19.00,K1,10YR 4/4,Shg,90,SL,80.00,Gravelly,Dry,Bop,,Stable,TT3881000N
N,,490360.00,380.00,MLS,18/7/2001 00:00:00,Incise,GU0045,IP0088,,Ga,fg,Q,3881000.00,MLS,17/7/2001 00:00:00,,26.00,K1,10YR 4/4,Shg,85,SL,88.00,Gravelly,Dry,Bop,,Unstab,TT3881000N
W,,490460.00,360.00,MLS,18/7/2001 00:00:00,Incise,GU0046,IP0088,,Ga,fr,Q,3881100.00,MLS,17/7/2001 00:00:00,,20.00,Ka,10YR 4/4,Shg,90,SL,82.00,Gravelly,Dry,Bop,,Unstab,TT3881000N
E,,490590.00,360.00,MLS,18/7/2001 00:00:00,Incise,GU0047,IP0089,Karkotis,Ga,cg,Q,3880950.00,MLS,17/7/2001 00:00:00,,17.00,Ka,10YR 4/4,Shg,90,SL,70.00,Gravelly,Dry,Bop,,Stable,TT3881000N
,Linou Utility Trench POSI.,490032.00,281.00,MLS,25/7/2001 00:00:00,Cons,GU0048,IP0161,Karkotis,Bi,at,Q,3881444.00,MLS,17/7/2001 00:00:00,,,,,,,,,,,Bop,,Strip,
N/A,,489665.00,300.00,MLS,18/7/2001 00:00:00,Till,GU0049,IP0096,Karkotis,Gr,ht,H,3880480.00,MLS,18/7/2001 00:00:00,,0.00,K1,2.5Y 5/3,Sab,,SiL,5.00,Gravelly,Dry,at,Q,Stable,TT3880500N
