access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
Through high grass and brambles,63-48-131,Abundant,No,No,No,No,No,None,Externally pretty good,Uncultivated edge of a cultivated field,"The structure is seven meters square.  Walls are 20 cm thick and 1.5 m high, with metal posts spaced, four on each wall, each is surrounded by chicken wire.  The structure is empty. There is one interal crack which has been fixed possibly with tar, and one crack not fixed. The structure is a water reservoir.  Sluice not visible. Local inhabitant said that it was disused because of the lack of water. It is probably related to the brick structure in the same field.",490155.00,318.00,CJA,23/7/2001 00:00:00,No,No,None,No,No,Karkotis,No,No,Kalophlitidhes,No,No,Yes,3880005.00,Yes,,TP012,None,No,No,EAS,27/5/2001 00:00:00,,No,No,No,No,28-XX,,,Yes,None,No,Aerial,Cement water reservoir,HFJ,No,None,No,"Sloping cultivated field, bottom of terrace.",Weedy with grass,No,Phlasou,50.00
Accessible via road to Memi mine,63-35-026,Unclear,No,No,No,No,No,Some,Stable but loose surface,,"Rubble piles usually related to field boundary walls and/or corners. One surrounds a tree, another is located at the end of a built wall but does not meet the end of a field boundary. A third is situated in the middle of an abandoned field. Height 1-3 m. These piles are believed to be evidence of field clearance. The material ranges from cobbles to large boulders up to 1 m in diameter. Location of the 11 rubble piles are: PU01 503315E 3877760N; PU02 503295E 3877750N; PU03 503285E 3877730N; PU04 503275E 3877725N; PU05 503280E 3877750N; PU06 503245E 3877765N; PU07 503275E 3877845N; PU08 503280E 3877860N; PU09 503250E 3877775N; PU10 503260E 3877910N; PU11 503245E 3877925N NB: PU03 is considered to be the remains of the church of Ayios Kyriakos; now = TP047",503300.00,,ESP,11/7/2001 00:00:00,No,No,None,Yes,No,Xyliatos,No,No,Mavrovouni,No,Yes,Yes,3877750.00,No,,TP025,Some,No,No,KWJ,11/7/2001 00:00:00,,No,Yes,No,No,29-XXVII,,TS02,No,Some,No,Aerial,Rubble piles,AGR,No,Some,No,Series of alluvial terraces,Among cultivated and abandoned fields,No,Ayia Marina,100.00
Immediately south of track running west from Mandres to main road,63-48-112,Abundant,No,No,Yes,No,No,,,,"About 4 structures (1 modern) in a cluster about 100 m outside Mandres. On west side of the gully - BU0009, BU00010, BU0008",495620.00,280.00,EAS,17/7/2001 00:00:00,No,No,,No,No,Mandres,No,No,Kaphkalla,No,Yes,Yes,3881720.00,No,,TP026,,No,No,HFJ,16/7/2001 00:00:00,,No,No,Yes,No,28-XXIII,,TS07,No,,No,Aerial,Outlying structures approx 100 m west of Mandres centre,HFJ,No,,No,Sloping towards gully,Long grass,No,Kato Koutraphas,
Next to track,63-48-112,Some,No,No,Yes,No,No,,,,"One building BU0016, with associated threshing floor",495995.00,,EAS,17/7/2001 00:00:00,No,No,,No,No,Mandres,No,No,Vromoneron,No,Yes,Yes,3881605.00,No,,TP027,,No,No,HFJ,16/7/2001 00:00:00,,No,No,No,No,28-XXIII,,TS07,No,,No,Image Print,Outlying structures and threshing floor 300m east of centre of Mandres,HFJ,Yes,,No,,,No,Kato Koutraphas,
Just beside access road to Mandres,63-48-112,Abundant,No,No,Yes,No,No,,,Structure BU0007 and threshing floor,"The vicinity of the ruined low front, high back socle and mud brick house with remains of a threshing floor.",495660.00,280.00,HFJ,26/7/2001 00:00:00,No,No,,No,No,Mandres,No,No,Lakxies tis Korphis,No,Yes,Yes,3881410.00,No,,TP028,,No,No,HFJ,16/7/2001 00:00:00,,No,No,No,No,28-XXIII,,TS07,No,,No,Image Print,Outlying structure 200 m SW of Mandres centre,HFJ,Yes,,No,Sloping side of gully,"Edge of cultivated fields, weeds.",No,Kato Koutraphas,
Beside road,,None,No,No,No,No,No,None,,"Roadside, recent looking road surface, tarmacked. Open fields in the vicinity.","Service trench is 60 m long and up to 2m deep and about 1.5 m wide. PU01 is the most southerly end of the trench, 5 m in length drawn in section. Layers Y01 to Y07. The basal layer (Y01) is an alluvial deposit with some pottery, sealed by cobble road fill  (Y02). This is sealed by a layer of slag (Y03) carbonate road surface (Y04) and further road fills (Y05, Y06 & Y07).",490032.00,281.00,HFJ,26/7/2001 00:00:00,No,Yes,None,No,No,Karkotis,No,No,Chankarena,No,No,No,3881444.00,No,,TP029,Some,No,No,HFJ,11/7/2001 00:00:00,,No,No,No,No,28-XX,,,Yes,Abundant,No,GPS,Road trench with stratigraphy and pottery & slag inclusions.,HFJ,No,None,No,Flat field beside road,Orange orchard with olive grove on the other side of the raod.,No,Linou,
Road from Nikitari,63-35-036,Abundant,No,No,Yes,Yes,No,None,,Located on bedrock spur with 2 gullies on either side. Overlooking river. Located in forested area (to the north of forest cairns as well as south). Immediate area cultivated with almonds and olives (100 m away).,"Rectangular building with traditional alpine roof covering domes. Recess at east end. Several phases of construction (2 in body of church). Additional buttresses added on north wall (structural problems?). Frescos on outside walls of building (northeast side); supporting arch on north wall; north and south wall have 2 supporting blocks with inside niches. Blocked doorway on north wall. Fragmentary paintings on plaster on all walls - painting on north wall probably hidden from outside). Enclosure wall shows evidence of different phasing - old wall with large ashlar blocks with lichen. Wall on church: re-used stone (worked limestone, tile). Buttress has water pipes in construction material (look Roman). Walls made of different materials: ashlar blocks, mixture of rounded stone and pottery. Church is sitting on a stone built platform. Rubble located in NE portion of enclosed area, as well as on other side of enclosure. Door on NE side of church may have been moved.",497575.00,445.00,SED,18/7/2001 00:00:00,No,No,None,No,No,Asinou,No,No,Kapsalia,No,Yes,Yes,3878280.00,No,,TP030,Some,No,No,ESG,18/7/2001 00:00:00,Church: Stylianou & Stylianou 1985: 114-140.,No,No,No,No,,,TS08,Yes,None,No,Aerial,Panayia Phorviotissa church and enclosure; geophysics,ESG,No,Some,No,Located on spur overlooking river - on bedrock,4 eucalyptus trees and 1 cypress,No,Nikitari,100.00
Dirt road following to Xyliatos (on right hand side of road) when travelling from north,,None,No,No,No,No,No,Some,Partly preserved. 2/3 of slag has been removed,Geomorphology recorded at AVB (alluvium basalt) on paper form.- located west of spoil heap. ?Terraces - agricultural,"Sketch plan and section drawn 11/7/00) Pottery - pieces late Hellenistic-Roman in slag heap, mixed historical, probably; Tile - modern tiles; Chipped stone - 1 piece chert, possibly worked. SLAG HEAP; Copper slag, undated, gravel to 30 kilos in size; Running slag (ie. tap slag?) with occasional green stains; No ores or obvious metals; Not much furnace material; Secondary deposit of cobble sized stones and gravel with pottery.",503260.00,390.00,LHS,25/7/2001 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Mavrovouni,No,No,No,3878020.00,No,,TP006,Some,No,No,ESG,1/7/2000 00:00:00,,No,Yes,Yes,No,29-XXV,,TS02,Yes,Abundant,Yes,GPS,"Slag heap, extensive Roman pottery, rubble piles",MJG,No,Some,No,River Terrace,"Pinus brutia (1), Crataegus (1), Capparis (1 large), Rhamnus (2), Pistacio (1), Inula (general), Echinops (scattered), Hypericum (scattered), Asparagus (scattered), Bromus (ground cover), Pine needles",No,Ayia Marina,
Relatively easy. access through a road from the village,63-48-131,Abundant,No,No,No,No,No,None,Still standing. slighlty sagging roof and windows.  Building in general is sagging and in disrepair.,"In an agricultural field.  A substantial cactus next to it, now growing across the building roof.  This factor may help in dating.  Building is currently storing old irrigation materials.","Brick/tile and concrete building.  6 x 4 m. Has a wooden door and wooden window frame with a corrugated iron roof.  There is a water pump on the west side on the building.  Inside apart from irrigation materials remain old clothes, old oil cans and other disused rubbish.",490080.00,318.00,CJA,23/7/2001 00:00:00,No,No,None,No,No,Karkotis,No,No,Tenekidhes,No,No,Yes,3879990.00,Yes,,TP013,None,No,No,CJA,27/6/2001 00:00:00,,No,No,No,No,28-XX,,,No,None,No,Aerial,Modern brick structure (storage?),HFJ,No,None,No,Flat unnatural terraced flood plain,Today being used as an agricultural field - possibly potatoes.,No,Phlasou,100.00
Next to track to Xyliatos Mavrovouni,63-35-026,Abundant,No,No,Yes,No,No,,"POOR - floor of the second storey removed, walls badly eroded; particularly the mudbrick.","House site situated next to road on lower slopes. There is a terrace below the house on the southwest side, along the road. Almond orchard west of house site on opposite side of road and olive trees in front of the house. Refer to GU0607 and the GI Notebook.Grivaud: Athassi is mentioned from 1440 to 1565, abandoned before 1825 (1998: 200). It appears in all three village lists from c. 1550, and 1565 had 5 francomati (free peasant farmers) (1998: 468). Another isolated threshing floor is marked on the cadastral plan 550 m to the SW.","Two storey house. Lower floor of main building constructed of basalt boulders with small rubble fill. Second storey consists of bricks to a heights of approx 19 courses, topped by mud brick with fired brick corners. Two rooms flanking the main structure to the south are constructed of mudbrick with a basalt boulder wall base (foundation), and abut the main structure, sharing its south wall. The room to the north of the main structure also shares a wall with the main house with its other three walls being constructed of mudbrick. A vine terrace is situated due south of the main structure and the house is surrounded by a terrace on the western front. A second vine is situated to the north of the complex. TP014 possibly associated with the threshing floor TP015.",502910.00,360.00,ESP,28/6/2001 00:00:00,No,No,,No,No,Xyliatos,No,No,Athasin,No,Yes,Yes,3878800.00,No,,TP014,,No,No,ESP,28/6/2001 00:00:00,,No,No,Yes,No,,,,Yes,,No,,Abandoned 4-room house with a second storey (not preserved),AGR,No,,No,Base of foothills near river,"Almond trees, cactus (looks like aloe vera) grasses and thistles, grape vines.",No,Xyliatos,90.00
