aerial,architecture,chipped_stone,material_culture,description,easting,elevation,entered_by,entered_date,environment,ground_stone,locality,northing,pottery,recorded_by,recorded_date,sia_id,sketch_chk,slag,source,summary,tile,topography,village
,Abundant,Unclear,Very little pottery evident. Lots of architecture: see relevant BU forms.,"Ruined stone and mud bricks, with central concentration and various outliers. Large terraces below houses, above gully. Path traversing round gully and crossing it. Threshing floors between gully and road. Masonry forestry cairns on ridges above settlement. Bridge for main road between Karterouni and the lower terraces: concrete plaque on west: 'FD 1943'.",493360.00,730.00,MJG,15/3/2002 00:00:00,"Steep-sided valley of river Kourdhali, with pine, hawthorn, grass, cistus, almonds, etc",Unclear,Karterouni,3873340.00,Some,MJG,15/3/2002 00:00:00,TS14,0,None,GPS,"Karterouni abandoned village, threshing floors, paths, terraces, forestry cairns",Abundant,,Ayios Theodhoros
,Some,None,Dense pottery scatter in SU1082 & TP118. Tombs in TP129. Wall exposed in TP252. Pottery across TP119 (settlement). Pottery and figurine fragments in TP119 (sanctuary).,"Stone walls, melted mud brick and pottery in section in TP252. Clear terraces and house platforms. Archaic sanctuary on artifical platform to N. Settlement of 'Limna' recorded in 1521-1565 village lists, but not 1825 census (Grivaud 1998: 202). Topographic and soil depth map. Geophysical survey. Collection on grid. Sampling of wall in section (section drawing lost?).",488850.00,250.00,MJG,30/7/2002 00:00:00,"SIA overlies low-sloping (c. 6 degrees) E-facing Holocene (active) pediment apron along base of N-trending basalt hills/ridge of western valley wall. Sediment native to site is thing (< 25 cm) and composed of basalt and calcareous fragments of vein K3 + petrocalcic soil horizons in the pillow lavas. Local concentrations of 30-80 cm thick deposits of SCL to L textured soils (tilled) and deposits (section at TP119). In section, at TP119, there appear to be aligned stones and 'muddier' deposits below a 25-40 cm thick thin-bedded pebble to gravelly SL-LS deposit; and infilled channels (one is a rill, the other is a c. 0.8 x 3 m channel) with accretionery beds of pebbles and finer grained beds. Gully is located to S and is seasonally flowing. Water source is likely the Karkotis Valley c. 100 m away.",None,Pano Limna,3882020.00,Abundant,MJG,30/7/2002 00:00:00,TS15,0,None,Aerial,Archaic sanctuary; Roman settlement,Abundant,28-XII,Katydhata
,None,None,Numbered square pieces of bathroom tiles.,Seeding plots; see separate reports by ESGNB: the cadastral plots and the digitised SUs on the GIS need checking. IP0013. Cadastral Plot No. E1. Near Jean & Eleni's house,489620.00,300.00,MJG,1/2/2002 00:00:00,"Fields, olives, plough.",None,Strongilo,3879875.00,Some,MJG,1/2/2002 00:00:00,TS16,1,Abundant,Aerial,Seeding experiment fields,Some,28-XX,Phlasou
,Some,None,"Coarse ware, pithos rims and sherds from storage jars. Over seventy pieces found. In the fields containing SUs 2327-2329 remains of a check dam were POSIed.",In the series of fields located South West of Asinou significant quantities of pottery were found. The North East side SU1360 especially. In all this SU produced 69 sherds. The fields' stable nature suggests that pottery is in situ. Area is associated with church of Panagia Phorviotissa (TS08).,497323.00,418.00,JPR,23/7/2003 00:00:00,Fields located South West of Asinou. Fields all mixed alluvium/colluvium anthropogenic terraces. Anthropogenic terraces relatively stable. SU2325-2329 in uncultivated fields with heavy wild cereal growth.,None,Rotsos,3877960.00,Some,CLT,20/7/2003 00:00:00,TS17,0,None,Aerial,Block surveyed units in Asinou intensive survey zone.,None,,Nikitari
,Some,None,"Roman self slip pan tiles.  Ground stone (mortar).  Varying thicknesses of pottery.  The material found is embedded in the soil and a lot of it is lichenated, suggesting stability for a long period of time.",Small Roman farmstead with ruined structure(s) near a spring. Farmstead mapped and collected in PUs. A couple of unobtrusive photos. Topo map 28-XIII,492120.00,245.00,AJG,4/8/2003 00:00:00,"The area has bedrock outcrops with broad fields between them used for growing grain.  Ruined structure is on a bedrock outcrop.  The spring is in the stream which is called Argaki tou Haji Christofi.  Vegetation consists of wild grasses, zizyphus, wild asparagus, thistles and hawthorns. Right on edge of and slightly inside Buffer Zone.",Some,Vrysi tou Haji Christofi,3882290.00,Abundant,GAP,31/7/2003 00:00:00,TS18,0,Abundant,GPS,"Roman farmstead with spring, millstone and artefact scatter",Abundant,28,Linou
,Abundant,None,"71 check dams in 13 gullies. TP155-TP165 inclusive, TP167-TP169 inclusive.","Series of check dam gullies varying in length and number of check dams in each (from 1 in TP165 and TP160 to 13 in TP161 and TP163).  Check dams vary in style, date and rock size.  Area covered - see attached diagram.  TP161 has associated pottery in dams and a path.  TP158 is an area of overgrown dense greenery, suspected to be check dam but inaccessible to see. Cadastral is XXVIII-56",497740.00,469.00,SMJ,3/8/2003 00:00:00,"Topography consists of 20-30 degree hillslopes incised by small rocky gully with very thin soils.  Bedrock consists of Basalt group rocks.  Currently vegetation consists of pine trees, cistus bushes and other sparse vegetation.  In the inner steep gullies myrtle and wild olives may be found. See sketch maps and descriptions under individual POSIs.",None,Stavros,3877870.00,Some,SMJ,3/8/2003 00:00:00,TS19,1,None,Image Print,System of check dams near Stavros.,None,28,Nikitari
63-48-9,Abundant,Abundant,"Stone-lined cistern of 2.45 x 2.50 m diameter. Greatest depth: 1.3 m to top of masonry, 1.8 to top of spoil.Red jasper (some brownish) cores and flakes on ridgetop, entire tool processing assemblage to SE of ridgetop. GPS of latter is 491553, 3882956, Elev. 224.Late Roman pottery, pan tiles, and cover tiles. Roman concrete","Small Late Roman farmstead near modern extent of Skouriotissa mine, NW of the Ayii Saranta stream. Topo is 28-XIII",491480.00,233.00,ATB,6/8/2003 00:00:00,"On a bedrock outcrop thinly covered by sediment, between two streams, the highest point in the immediate area. Outcrop has been terraced but not plowed recently.Surrounding slope has been planted with grain. Red jasper outcrop on ridgetop and just to the southeast, just below dirt road.",Some,Phoukasa,3882990.00,Abundant,ATB,6/8/2003 00:00:00,TS20,0,Some,GPS,Jasper working and Late Roman farmstead,Abundant,28,Petra
63-48-131,None,Some,Chipped and ground stone located in TP095. Chipped stone mainly jasper and chalcedony. Minimal pottery - medieval / modern and historic.,Series of agricultural fields located within a ploughed area near TP095. Area primarily aceramic. Fields block surveyed  due to relatively good visibility.,501424.00,273.00,ESG,5/7/2004 00:00:00,"Ploughed agricultural fields composed of pediment alluvium. Some olive cultivation, watermelon and stubble.",Some,Kambos tou Lemonari,3883976.00,Some,ESG,5/7/2004 00:00:00,TS21,0,Some,GPS,Ground stone and chipped stone concentration,Unclear,,Potami
,None,Unclear,Slag sampled by LIK in 2002 and 2003. Pottery sampled by KWJ in 2003 (brief write-up in text file). ARS dish with man holding pole: TIP315.,"Slag heap is c. 300 m long, 50 m wide at its widest, & rises to over 17 m. In 2000 we identified 7 separate exposed sections and drew sketch plans and sections (at the time named TP007.AU01-07). TP007 is now defined as the large section opposite the camp entrance, at the north end. Ernst and Mike took a TL sample from here. In the 2001 season the slag heap was photographed by Chris P. See section drawings by LIK done in 2002 and 2003, and topographic map done by LIK and Gary in 2002. Samples taken in both seasons. TP171 is the amphora pile; TP172 is the northern smaller slag heap. See also 20th century miners' housing at TP107. References for the church & monastery - see BU0093. References for monastery and modern mine: MJG's notes in text file.",489550.00,220.00,MJG,5/6/2001 00:00:00,"West side of Foukassa hill, just above the river terraces of the Karkotis valley. Now being encroached from the east by the modern spoil heap and bulldozed road.",Unclear,Vouppos,3883500.00,Some,MJG,24/8/2000 00:00:00,TS01,1,Abundant,"1:50,000",Modern copper mine and Roman slag heap,Some,28-XII,Skouriotissa
63-35-26,Some,Some,"Pottery fields starting from 200m N of the slag heap to 400m S of it, on the alluvial plain. In addition, in this area (S) there is not really much tile. Pottery numbers seem to be going down towards the S end of the alluvial plain. In the centre on the other hand, tile is more abundant. Pottery collected, mainly Late Roman and Modern.","TP006: Slag heap. Large square fields, dense material (especially between the outcrop of pillow lavas and slag heap). On the top of the pillow lava outcrop ('Rock of Ayios Kyriakos'; TP017), there is a small buried structure;  wall with pithos remains on top of it; it seems that somebody has dug a hole at its S side. Intensive block survey across SIA in small SUs, and across river; recorded section of slag heap; mapped of terrace walls and field walls; gridded TP104; lots of photographs.",503400.00,400.00,LHS,17/5/2001 00:00:00,Two types of geology: Pillow lavas on the hill slope and an alluvial plain at the bottom of the hillslope running from S to N. River terrace with a river at W site running at the bottom of the hill creating a fairly deep gully with lots of vegetation around it. The land is still used for olive groves but some of it is fallow. There is a good amount of irrigation (water channels). Most importantly it is clear that the river is quite wet still.,None,Mavrovouni,3877400.00,Abundant,MIM,11/7/2000 00:00:00,TS02,0,Abundant,"1:50,000","Roman slag heap and pottery, field walls, pre-modern church",Abundant,,Ayia Marina
