area,background,chipped_stone_bags,chipped_stone_collected,chipped_stone_count,comment,easting,elevation,entered_by,entered_date,furnace_material_bags,furnace_material_collected,furnace_material_count,glass_bags,glass_collected,glass_count,ground_stone_bags,ground_stone_collected,ground_stone_count,ground_visibility,gu_number,intensive_survey_zone,lines,metal_bags,metal_collected,metal_count,northing,pottery_count,pottery_tile_bags,pottery_tile_collected,recorded_by,recorded_date,shotgun_cartridges_count,sia_id,slag_bags,slag_collected,slag_count,su_number,team_lead,tile_count,transiano
1157.79,1.00,,,,,496985.00,600.00,PLP,3/7/2001 00:00:00,,,,,,,,,,50.00,GU0313,Asinou,,,,,3878865.00,,,0.00,JLH,3/7/2001 00:00:00,7.00,,,,,SU0317,ESG,,TT497000E
600.97,1.00,,,,All cartridges found on shoulder of hill.,497000.00,610.00,PLP,4/7/2001 00:00:00,,,,,,,,,,40.00,GU0314,Asinou,,,,,3878875.00,,,0.00,SED,4/7/2001 00:00:00,13.00,,,,,SU0318,ESG,,TT497000E
1500.84,1.00,,,,2 circles cleared - nothing found.,497000.00,600.00,PLP,4/7/2001 00:00:00,,,,,,,,,,40.00,GU0314,Asinou,,,,,3878915.00,,,0.00,SED,4/7/2001 00:00:00,1.00,,,,,SU0319,ESG,,TT497000E
1674.10,2.00,,,,,497000.00,610.00,PLP,4/7/2001 00:00:00,,,,,,,,,,50.00,GU0315,Asinou,,,,,3878965.00,1.00,1.00,1.00,SED,4/7/2001 00:00:00,1.00,,,,,SU0320,ESG,,TT497000E
2336.10,1.00,,,,,495750.00,250.00,JLH,7/7/2001 00:00:00,,,,,,,,,,20.00,GU0316,Mandres,,,,,3881560.00,4.00,1.00,3.00,JLH,7/7/2001 00:00:00,,TS07,,,,SU0321,ESG,,TT495750E
1944.39,2.00,,,,,495750.00,250.00,JLH,7/7/2001 00:00:00,,,,,,,,,,20.00,GU0316,Mandres,,,,,3881475.00,3.00,1.00,3.00,JLH,7/7/2001 00:00:00,,TS07,,,,SU0322,ESG,,TT495750E
1111.06,2.00,,,,,495750.00,245.00,JLH,7/7/2001 00:00:00,,,,,,,,,,40.00,GU0317,Mandres,,,,,3881390.00,1.00,1.00,1.00,JLH,7/7/2001 00:00:00,10.00,TS07,,,,SU0323,ESG,,TT495750E
2989.11,1.00,,,,,495750.00,255.00,JLH,23/7/2001 00:00:00,,,,,,,,,,10.00,GU0318,Mandres,,,,,3881320.00,1.00,1.00,1.00,JLH,7/7/2001 00:00:00,,TS07,,,,SU0324,ESG,,TT495750E
1513.86,1.00,,,,,495750.00,255.00,JLH,23/7/2001 00:00:00,,,,,,,,,,10.00,GU0318,Mandres,,,,,3881225.00,,,0.00,JLH,7/7/2001 00:00:00,,TS07,,,,SU0325,ESG,,TT495750E
1205.90,1.00,,,,,495740.00,260.00,JLH,23/7/2001 00:00:00,,,,,,,,,,20.00,GU0319,Mandres,,,,,3881960.00,4.00,1.00,4.00,JLH,7/7/2001 00:00:00,,TS07,,,,SU0326,ESG,,TT495750E
3681.74,1.00,,,,,495750.00,280.00,SED,23/7/2001 00:00:00,,,,,,,,,,10.00,GU0320,Mandres,,,,,3882070.00,4.00,1.00,4.00,SED,8/7/2001 00:00:00,1.00,TS07,,,,SU0327,ESG,,TT495750E
707.88,1.00,,,,Other - black glassy/plastic material,495760.00,270.00,SED,23/7/2001 00:00:00,,,,,,,,,,20.00,GU0322,Mandres,,,,,3882230.00,2.00,1.00,2.00,SED,8/7/2001 00:00:00,,,,,,SU0328,ESG,,TT495750E
2131.64,2.00,,,,,495770.00,260.00,SED,23/7/2001 00:00:00,,,,,,,,,,10.00,GU0323,Mandres,,,,,3882300.00,,,0.00,SED,8/7/2001 00:00:00,1.00,,,,,SU0329,ESG,,TT495750E
677.12,1.00,,,,A cartridge box was seen,495490.00,320.00,SED,9/7/2001 00:00:00,,,,,,,,,,30.00,GU0324,Mandres,,,,,3881380.00,3.00,1.00,3.00,SED,9/7/2001 00:00:00,7.00,TS07,,,,SU0330,ESG,,TT495500E
478.60,1.00,,,,,495490.00,330.00,SED,9/7/2001 00:00:00,,,,,,,,,,20.00,GU0325,Mandres,,,,,3881330.00,2.00,1.00,2.00,SED,9/7/2001 00:00:00,,TS07,,,,SU0331,ESG,,TT495500E
766.50,1.00,,,,,495490.00,335.00,SED,9/7/2001 00:00:00,,,,,,,,,,10.00,GU0326,Mandres,,,,,3881285.00,1.00,1.00,1.00,SED,9/7/2001 00:00:00,3.00,TS07,,,,SU0332,ESG,,TT495500E
718.32,2.00,,,,,495490.00,340.00,SED,9/7/2001 00:00:00,,,,,,,,,,30.00,GU0327,Mandres,,,,,3881230.00,,,0.00,SED,9/7/2001 00:00:00,2.00,TS07,,,,SU0333,ESG,,TT495500E
1293.44,2.00,,,,,495490.00,360.00,SED,9/7/2001 00:00:00,,,,,,,,,,30.00,GU0327,Mandres,,,,,3881175.00,1.00,1.00,1.00,SED,9/7/2001 00:00:00,9.00,TS07,,,,SU0334,ESG,,TT495500E
569.68,1.00,,,,,495490.00,290.00,SED,12/7/2001 00:00:00,,,,,,,,,,10.00,GU0329,Mandres,,,,,3881520.00,,,0.00,SED,9/7/2001 00:00:00,1.00,TS07,,,,SU0335,ESG,,TT495500E
1645.72,1.00,,,,,495490.00,280.00,LAM,10/7/2001 00:00:00,,,,,,,,,,20.00,GU0330,Mandres,,,,,3881580.00,2.00,1.00,2.00,LAM,10/7/2001 00:00:00,2.00,TS07,,,,SU0336,ESG,,TT495500E
1246.75,1.00,,,,,495500.00,280.00,LAM,10/7/2001 00:00:00,,,,,,,,,,10.00,GU0330,Mandres,,,,,3881660.00,1.00,1.00,1.00,LAM,10/7/2001 00:00:00,,TS07,,,,SU0337,ESG,,TT495500E
2091.74,1.00,,,,,495510.00,275.00,LAM,10/7/2001 00:00:00,,,,,,,,,,10.00,GU0331,Mandres,,,,,3881725.00,1.00,1.00,1.00,LAM,10/7/2001 00:00:00,3.00,TS07,,,,SU0338,ESG,,TT495500E
2209.14,1.00,,,,,495510.00,270.00,LAM,10/7/2001 00:00:00,,,,,,,,,,10.00,GU0331,Mandres,,,,,3881820.00,,,0.00,LAM,10/7/2001 00:00:00,,TS07,,,,SU0339,ESG,,TT495500E
721.89,1.00,,,,,495525.00,265.00,LAM,10/7/2001 00:00:00,,,,,,,,,,20.00,GU0331,Mandres,,,,,3881920.00,2.00,1.00,2.00,LAM,10/7/2001 00:00:00,,TS07,,,,SU0340,ESG,,TT495500E
